external_course_key,course_id,course_name
2163-01750,2016-SPRI-PULLM-I_BUS-470-1750-LEC,2016-SPRI-PULLM-I_BUS-470-1750-LEC
2163-07650,2016-SPRI-ONLIN-I_BUS-470-7650-LEC,2016-SPRI-ONLIN-I_BUS-470-7650-LEC
2163-09845,2016-SPRI-PULLM-ECONS-327-9845-LEC,2016-SPRI-PULLM-ECONS-327-9845-LEC
2163-01749,2016-SPRI-PULLM-ECONS-327-1749-LEC,2016-SPRI-PULLM-ECONS-327-1749-LEC
2163-07649,2016-SPRI-ONLIN-ECONS-327-7649-LEC,2016-SPRI-ONLIN-ECONS-327-7649-LEC
2163-08623,2016-SPRI-ONLIN-ECONS-351-8623-LEC,2016-SPRI-ONLIN-ECONS-351-8623-LEC
2163-05936,2016-SPRI-PULLM-ECONS-433-5936-LEC,2016-SPRI-PULLM-ECONS-433-5936-LEC
2163-01756,2016-SPRI-PULLM-ECONS-450-1756-LEC,2016-SPRI-PULLM-ECONS-450-1756-LEC
2163-01757,2016-SPRI-PULLM-ECONS-451-1757-LEC,2016-SPRI-PULLM-ECONS-451-1757-LEC
2163-08356,2016-SPRI-SPOKA-MBIOS-101-8356-LAB,2016-SPRI-SPOKA-MBIOS-101-8356-LAB
2163-08320,2016-SPRI-SPOKA-MBIOS-101-8320-LEC,2016-SPRI-SPOKA-MBIOS-101-8320-LEC
2163-10040,2016-SPRI-TRICI-MBIOS-101-10040-LAB,2016-SPRI-TRICI-MBIOS-101-10040-LAB
2163-01514,2016-SPRI-TRICI-MBIOS-101-1514-LAB,2016-SPRI-TRICI-MBIOS-101-1514-LAB
2163-01513,2016-SPRI-TRICI-MBIOS-101-1513-LEC,2016-SPRI-TRICI-MBIOS-101-1513-LEC
2163-10066,2016-SPRI-PULLM-MBIOS-101-10066-LAB,2016-SPRI-PULLM-MBIOS-101-10066-LAB
2163-03743,2016-SPRI-PULLM-MBIOS-101-3743-LAB,2016-SPRI-PULLM-MBIOS-101-3743-LAB
2163-03742,2016-SPRI-PULLM-MBIOS-101-3742-LAB,2016-SPRI-PULLM-MBIOS-101-3742-LAB
2163-03741,2016-SPRI-PULLM-MBIOS-101-3741-LAB,2016-SPRI-PULLM-MBIOS-101-3741-LAB
